task_id,family,primary_tag,split,score,success,steps,elapsed_s,error
osworld_e246f6d8,docx,check_italic_font_size_14,train,0.999,True,3,5.35,
osworld_88fe4b2d,docx,compare_docx_files,train,0.4,False,4,7.83,
osworld_adf5e2c3,docx,compare_docx_files,train,0.3907,False,6,24.28,
osworld_d53ff5ee,docx,compare_docx_files,train,0.999,True,4,7.2,
osworld_e528b65e,docx,compare_docx_files,train,0.3992,False,4,6.2,
osworld_6ada715d,docx,compare_docx_images,train,0.4,False,3,4.69,
osworld_936321ce,docx,compare_docx_tables,train,0.228,False,4,10.03,
osworld_0e763496,docx,compare_font_names,train,0.001,False,3,5.86,
osworld_b21acd93,docx,compare_line_spacing,train,0.999,True,6,21.69,
osworld_6f81754e,docx,compare_unique_train_records,train,0.001,False,15,26.23,
osworld_ecc2413d,docx,contains_page_break,train,0.6,True,2,3.44,
osworld_8472fece,docx,evaluate_colored_words_in_tables,train,0.999,True,4,7.69,
osworld_72b810ef,docx,evaluate_strike_through_last_paragraph,train,0.999,True,4,6.52,
osworld_f178a4a9,docx,find_default_font,train,0.001,False,3,4.74,
osworld_0e47de2a,docx,has_page_numbers_in_footers,train,0.001,False,3,7.55,
osworld_bb8ccc78,docx,infeasible,train,0.001,False,4,7.88,
osworld_3ef2b351,docx,is_first_line_centered,train,0.6,True,3,8.02,
pptarena_case_67_wcag_accessibility_master_cleanup,pptx,Accessibility & Semantics,train,0.6192,True,15,34.61,
pptarena_case_16_curate_multi_panel_photo_layout,pptx,"Alignment, Distribution & Z-order",train,0.001,False,5,13.92,
pptarena_case_63_spatial_constraint_layout,pptx,"Alignment, Distribution & Z-order",train,0.7102,True,4,10.15,
pptarena_case_99_embed_configure_video_playback,pptx,Audio & Video,train,0.001,False,5,42.0,empty_response
pptarena_case_29_convert_bar_chart_to_pie_chart,pptx,Charts,train,0.999,True,7,16.49,
pptarena_case_73_dynamic_data_label_placement,pptx,Charts,train,0.9534,True,11,26.05,
pptarena_case_93_multi_edit_cascade_copernicus_climate_highlights,pptx,Charts,train,0.8681,True,9,57.9,
pptarena_case_59_convert_hyper_link,pptx,Hyperlinks & Action Settings,train,0.999,True,5,9.78,
pptarena_case_27_correct_images,pptx,Images & Pictures,train,0.9591,True,10,33.32,
pptarena_case_81_add_company_logo,pptx,Images & Pictures,train,0.9829,True,7,14.46,
pptarena_case_91_add_qr_code,pptx,Images & Pictures,train,0.9989,True,6,18.63,
pptarena_case_100_animation_canonicalization_bullet_sequencing,pptx,Object Animations,train,0.9844,True,13,34.06,
pptarena_case_17_build_ensemble_category_boards,pptx,Shapes & Drawing,train,0.7548,True,11,49.63,
pptarena_case_84_add_progress_bar,pptx,Shapes & Drawing,train,0.9946,True,4,7.99,
pptarena_case_23_add_thank_you_slide,pptx,Slide Layout & Placeholders,train,0.9987,True,4,8.47,
pptarena_case_90_screenshot_to_editable_text_ub_title_slide,pptx,Slide Layout & Placeholders,train,0.03,False,15,46.99,
pptarena_case_37_add_transitions,pptx,Slide Transitions,train,0.999,True,9,77.93,
pptarena_case_43_transitionary_slides,pptx,Slide/Section Management & Footers,train,0.5984,True,7,23.22,
pptarena_case_87_merge_near_duplicate_slides,pptx,Slide/Section Management & Footers,train,0.001,False,2,22.17,empty_response
pptarena_case_68_swimlane_flow_process_canonicalization,pptx,SmartArt & Diagrams,train,0.5964,True,7,30.15,
